frame,time,area,x,y,w,h,cx,cy
576,19.2192,3024.0,444,115,62,65,475.0,147.5
577,19.252566666666667,2965.0,440,115,60,65,470.0,147.5
578,19.285933333333332,3031.5,440,115,60,65,470.0,147.5
579,19.319300000000002,2972.0,438,115,60,65,468.0,147.5
580,19.352666666666668,2807.5,434,115,62,65,465.0,147.5
581,19.386033333333334,2801.0,434,115,62,65,465.0,147.5
582,19.4194,2661.5,432,115,64,67,464.0,148.5
583,19.452766666666665,2344.0,432,115,62,67,463.0,148.5
584,19.486133333333335,2179.5,430,115,62,67,461.0,148.5
585,19.5195,2130.0,426,115,64,71,458.0,150.5
586,19.552866666666667,2048.5,426,115,62,79,457.0,154.5
587,19.586233333333332,1875.0,426,115,62,71,457.0,150.5
588,19.619600000000002,1602.5,424,115,64,69,456.0,149.5
589,19.652966666666668,960.5,82,198,52,70,108.0,233.0
590,19.686333333333334,922.0,82,198,52,70,108.0,233.0
591,19.7197,1395.5,428,115,60,67,458.0,148.5
592,19.753066666666665,1565.0,436,115,60,69,466.0,149.5
593,19.786433333333335,1792.0,450,115,52,73,476.0,151.5
594,19.8198,1377.0,438,115,62,70,469.0,150.0
595,19.853166666666667,781.0,82,198,54,70,109.0,233.0
596,19.886533333333333,1356.5,436,115,62,63,467.0,146.5
597,19.919900000000002,1970.5,434,115,66,67,467.0,148.5
598,19.953266666666668,2068.5,434,115,66,67,467.0,148.5
599,19.986633333333334,1878.0,434,115,66,65,467.0,147.5
600,20.02,1913.5,436,115,50,63,461.0,146.5
601,20.053366666666665,1899.5,432,115,54,61,459.0,145.5
602,20.086733333333335,2686.5,434,115,62,63,465.0,146.5
603,20.1201,2507.0,434,115,62,60,465.0,145.0
604,20.153466666666667,2490.0,436,115,58,61,465.0,145.5
605,20.186833333333333,2574.0,436,115,58,59,465.0,144.5
606,20.220200000000002,2645.0,436,115,60,57,466.0,143.5
607,20.253566666666668,2583.5,436,115,62,57,467.0,143.5
608,20.286933333333334,2605.0,436,115,62,57,467.0,143.5
609,20.3203,2685.0,436,115,62,57,467.0,143.5
610,20.353666666666665,2580.5,438,115,58,57,467.0,143.5
611,20.387033333333335,2669.0,438,115,58,59,467.0,144.5
612,20.4204,2686.5,438,115,58,61,467.0,145.5
613,20.453766666666667,2557.0,440,115,56,61,468.0,145.5
614,20.487133333333333,2626.0,441,115,55,61,468.5,145.5
615,20.520500000000002,2689.0,440,115,58,63,469.0,146.5
616,20.553866666666668,2663.5,442,115,58,63,471.0,146.5
617,20.587233333333334,2649.5,442,115,60,65,472.0,147.5
618,20.6206,2564.0,444,115,60,67,474.0,148.5
619,20.653966666666665,2590.0,444,115,60,69,474.0,149.5
620,20.687333333333335,2559.5,444,115,60,69,474.0,149.5
621,20.7207,2495.5,444,115,64,71,476.0,150.5
622,20.754066666666667,2418.0,444,115,64,71,476.0,150.5
623,20.787433333333333,2350.5,444,115,64,71,476.0,150.5
624,20.820800000000002,2182.5,446,115,64,69,478.0,149.5
625,20.854166666666668,2175.5,446,115,64,69,478.0,149.5
626,20.887533333333334,1637.5,448,115,64,71,480.0,150.5
627,20.9209,1412.5,448,115,60,65,478.0,147.5
628,20.954266666666665,1666.0,446,115,64,67,478.0,148.5
629,20.987633333333335,1793.0,446,115,64,65,478.0,147.5
630,21.021,2300.5,440,115,68,67,474.0,148.5
631,21.054366666666667,2294.0,440,115,68,67,474.0,148.5
632,21.087733333333333,1912.5,438,115,46,63,461.0,146.5
633,21.121100000000002,2374.0,436,115,66,61,469.0,145.5
634,21.154466666666668,1865.5,434,115,64,61,466.0,145.5
635,21.187833333333334,1915.0,436,115,62,61,467.0,145.5
636,21.2212,1964.5,434,115,72,61,470.0,145.5
637,21.254566666666665,2032.0,432,115,72,59,468.0,144.5
638,21.287933333333335,2059.0,432,115,72,59,468.0,144.5
639,21.3213,2283.0,428,115,68,57,462.0,143.5
640,21.354666666666667,2284.5,426,115,68,57,460.0,143.5
641,21.388033333333333,2291.0,426,115,68,57,460.0,143.5
642,21.421400000000002,2200.5,422,115,66,57,455.0,143.5
643,21.454766666666668,2230.0,420,115,66,58,453.0,144.0
644,21.488133333333334,2408.5,416,115,68,57,450.0,143.5
645,21.5215,2438.5,416,115,68,57,450.0,143.5
646,21.554866666666666,2466.0,410,115,68,55,444.0,142.5
647,21.588233333333335,2374.0,404,115,70,55,439.0,142.5
648,21.6216,2395.5,404,115,72,57,440.0,143.5
649,21.654966666666667,2306.0,404,115,67,57,437.5,143.5
650,21.688333333333333,2154.0,402,115,68,55,436.0,142.5
651,21.721700000000002,2105.5,398,115,70,55,433.0,142.5
652,21.755066666666668,2039.0,394,115,66,59,427.0,144.5
653,21.788433333333334,2230.5,388,115,66,61,421.0,145.5
654,21.8218,2211.5,388,115,66,61,421.0,145.5
655,21.855166666666666,2181.0,384,115,72,63,420.0,146.5
656,21.888533333333335,2514.0,376,115,78,67,415.0,148.5
657,21.9219,2685.0,372,115,82,69,413.0,149.5
658,21.955266666666667,2653.5,372,115,82,69,413.0,149.5
659,21.988633333333333,2027.5,358,115,66,65,391.0,147.5
660,22.022000000000002,2019.0,358,115,66,65,391.0,147.5
661,22.055366666666668,2284.5,354,115,87,73,397.5,151.5
662,22.088733333333334,2467.0,354,115,84,75,396.0,152.5
663,22.1221,2520.5,352,115,74,81,389.0,155.5
664,22.155466666666666,2831.5,352,115,64,80,384.0,155.0
665,22.188833333333335,2846.5,352,115,66,80,385.0,155.0
666,22.2222,2938.5,346,118,54,80,373.0,158.0
667,22.255566666666667,2728.0,340,120,58,80,369.0,160.0
668,22.288933333333333,2712.0,340,120,58,80,369.0,160.0
669,22.322300000000002,2279.5,336,123,58,75,365.0,160.5
670,22.355666666666668,2469.5,333,120,59,76,362.5,158.0
